building_id,year,renovation_probability
979,2027,0.2
2066,2027,0.2
2100,2027,0.1
140,2027,0.2
290,2027,0.2
312,2027,0.5
499,2027,0.2
2042,2027,0.3
26,2027,0.1
217,2027,0.2
389,2027,0.1
543,2027,0.1
574,2027,0.1
595,2027,0.1
1264,2027,0.1
59,2027,0.2
77,2027,0.1
250,2027,0.1
255,2027,0.1
345,2027,0.1
366,2027,0.1
613,2027,0.2
680,2028,0.3
937,2028,0.1
979,2028,0.3
2066,2028,0.2
2100,2028,0.1
140,2028,0.2
290,2028,0.2
312,2028,0.5
499,2028,0.2
2042,2028,0.3
26,2028,0.1
217,2028,0.2
389,2028,0.1
543,2028,0.1
574,2028,0.1
595,2028,0.1
1264,2028,0.1
59,2028,0.3
77,2028,0.1
250,2028,0.1
255,2028,0.1
345,2028,0.1
366,2028,0.1
892,2028,0.2
896,2028,0.1
18,2028,0.1
28,2028,0.5
219,2028,0.2
680,2029,0.3
937,2029,0.1
979,2029,0.3
2066,2029,0.3
2100,2029,0.1
140,2029,0.2
290,2029,0.2
312,2029,0.5
499,2029,0.2
2042,2029,0.3
26,2029,0.1
217,2029,0.2
389,2029,0.1
543,2029,0.1
574,2029,0.2
595,2029,0.1
1264,2029,0.1
59,2029,0.3
77,2029,0.2
250,2029,0.1
255,2029,0.1
345,2029,0.1
366,2029,0.1
892,2029,0.2
896,2029,0.1
18,2029,0.1
28,2029,0.5
219,2029,0.2
1251,2029,0.1
1496,2029,0.1
1542,2029,0.1
64,2029,0.4
173,2029,0.4
214,2029,0.1
297,2029,0.3
298,2029,0.3
510,2029,0.1
680,2030,0.3
937,2030,0.1
979,2030,0.3
2066,2030,0.5
2100,2030,0.1
140,2030,0.2
290,2030,0.2
312,2030,0.5
499,2030,0.2
2042,2030,0.3
26,2030,0.1
217,2030,0.2
389,2030,0.1
543,2030,0.1
574,2030,0.2
595,2030,0.1
1264,2030,0.1
59,2030,0.3
77,2030,0.2
250,2030,0.1
366,2030,0.1
892,2030,0.2
896,2030,0.1
18,2030,0.1
28,2030,0.5
219,2030,0.2
1251,2030,0.1
1496,2030,0.1
1542,2030,0.1
64,2030,0.4
214,2030,0.1
297,2030,0.3
510,2030,0.1
882,2030,0.1
1102,2030,0.1
617,2030,0.1
680,2031,0.3
937,2031,0.2
979,2031,0.3
2066,2031,0.5
2100,2031,0.1
140,2031,0.3
290,2031,0.2
312,2031,0.5
499,2031,0.2
2042,2031,0.3
26,2031,0.1
217,2031,0.2
389,2031,0.1
543,2031,0.2
574,2031,0.2
595,2031,0.1
1264,2031,0.1
59,2031,0.3
77,2031,0.2
250,2031,0.1
366,2031,0.1
892,2031,0.2
896,2031,0.2
18,2031,0.1
28,2031,0.5
219,2031,0.3
1251,2031,0.1
1496,2031,0.1
1542,2031,0.1
64,2031,0.4
214,2031,0.1
297,2031,0.3
510,2031,0.1
882,2031,0.1
1102,2031,0.1
617,2031,0.1
1591,2031,0.1
55,2031,0.3
84,2031,0.2
234,2031,0.1
545,2031,0.1
639,2031,0.1
680,2032,0.3
937,2032,0.2
979,2032,0.3
2066,2032,0.5
2100,2032,0.2
140,2032,0.3
290,2032,0.2
312,2032,0.5
499,2032,0.2
2042,2032,0.3
26,2032,0.1
389,2032,0.1
543,2032,0.2
574,2032,0.2
595,2032,0.1
1264,2032,0.1
59,2032,0.3
77,2032,0.3
250,2032,0.1
366,2032,0.1
892,2032,0.3
896,2032,0.2
18,2032,0.1
28,2032,0.5
219,2032,0.3
1251,2032,0.1
1496,2032,0.1
1542,2032,0.1
64,2032,0.5
297,2032,0.3
510,2032,0.1
882,2032,0.1
1102,2032,0.1
617,2032,0.1
1591,2032,0.1
55,2032,0.4
84,2032,0.2
234,2032,0.2
545,2032,0.2
639,2032,0.1
1221,2032,0.1
71,2032,0.5
238,2032,0.3
244,2032,0.3
542,2032,0.1
680,2033,0.3
937,2033,0.2
979,2033,0.3
2066,2033,0.5
2100,2033,0.2
140,2033,0.3
290,2033,0.2
312,2033,0.5
499,2033,0.2
2042,2033,0.3
26,2033,0.1
389,2033,0.1
543,2033,0.2
574,2033,0.2
595,2033,0.1
1264,2033,0.1
59,2033,0.3
77,2033,0.3
250,2033,0.1
366,2033,0.1
892,2033,0.3
18,2033,0.1
28,2033,0.5
219,2033,0.3
1251,2033,0.1
1496,2033,0.1
